#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTDESCplot_event.64;[FromFrom.GetTitledFirstName] successfully gained access to [From.GetTitledFirstName]'s chamber just as dusk fell. [From.GetSheHeCap] dodged [FromFrom.GetTitledFirstName]'s blows however, struggling with [FromFrom.GetHerHim] until [From.GetHerHis] other guards arrived. [FromFrom.GetTitledFirstName] had to flee, leaving evidence of the plotters.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Cependant [From.GetSheHeCap] est parvenu à esquiver le coup et s'est défendu jusqu'à l'arrivée de ses gardes. [FromFrom.GetTitledFirstName] a du s'enfuir, révélant ainsi l'existence d'un complot.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Cependant [From.GetSheHeCap] est parvenu à esquiver le coup et s'est défendu jusqu'à l'arrivée de ses gardes. [FromFrom.GetTitledFirstName] a du s'enfuir, révélant ainsi l'existence d'un complot.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Cependant [From.GetSheHeCap] est parvenu à esquiver le coup et s'est défendu jusqu'à l'arrivée de ses gardes. [FromFrom.GetTitledFirstName] a du s'enfuir, révélant ainsi l'existence d'un complot.;[FromFrom.GetTitledFirstName] consiguió acceder a la habitación de [From.GetTitledFirstName] mientras el sol se ponía. Sin embargo, logró esquivar el ataque y se defendió hasta la llegada de sus guardias. [FromFrom.GetTitledFirstName] tuvo que huir, revelando así la existencia del complot.;;;;;;;;;x
EVTOPTAplot_event.64;Fool, your supposed to be good with a blade!;Idiot, tu es censé être bon avec une épée !;Idiot, tu es censé être bon avec une épée !;Idiot, tu es censé être bon avec une épée !;Idiota, se suponía que eras bueno con la espada!;;;;;;;;;x
EVTDESCplot_event.65;[FromFrom.GetTitledFirstName] successfully gained access to [From.GetTitledFirstName]'s chamber just as dusk fell. Before [FromFrom.GetSheHe] could strike however, the [From.GetTitle] became spooked, calling [From.GetHerHis] guards who immediately rushed in. Thankfully, [FromFrom.GetTitledFirstName] managed to slip away unnoticed.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Mais avant qu'[FromFrom.GetSheHe] n'ai pu frapper, le(a) [From.GetTitle] a pris peur et a appelé la garde qui s'est précipitée dans la pièce. Heureusement [FromFrom.GetTitledFirstName] est parvenu à disparaître sans se faire remarquer.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Mais avant qu'[FromFrom.GetSheHe] n'ai pu frapper, le(a) [From.GetTitle] a pris peur et a appelé la garde qui s'est précipitée dans la pièce. Heureusement [FromFrom.GetTitledFirstName] est parvenu à disparaître sans se faire remarquer.;[FromFrom.GetTitledFirstName] est parvenu a accéder à la chambre de [From.GetTitledFirstName] alors que le soleil venait de coucher. Mais avant qu'[FromFrom.GetSheHe] n'ai pu frapper, le(a) [From.GetTitle] a pris peur et a appelé la garde qui s'est précipitée dans la pièce. Heureusement [FromFrom.GetTitledFirstName] est parvenu à disparaître sans se faire remarquer.;[FromFrom.GetTitledFirstName] consiguió acceder a la habitación de [From.GetTitledFirstName] mientras el sol se ponía. Pero antes que pudiera atacar, el [From.GetTitle] cogió miedo y llamó a la guardia que se precipitó en su ayuda. Afortunadamente, [FromFrom.GetTitledFirstName] logró escapar sin que nadie lo notara.;;;;;;;;;x
EVTOPTC63000;I'll use my powers as regent to transfer it;Je vais utiliser mon pouvoir en tant que régent(e) pour le transférer.;Je vais utiliser mon pouvoir en tant que régent(e) pour le transférer.;Je vais utiliser mon pouvoir en tant que régent(e) pour le transférer.;Utilizaré mis poderes como regente para transferirlo.;;;;;;;;;x
EVTTOOLTIP63001B;Your request will be enacted;Votre requête va être acceptée;Votre requête va être acceptée;Votre requête va être acceptée;La solicitud será promulgada;;;;;;;;;x
EVTOPTE63001;[From.GetSheHeCap] is my regent, I have no choice;Non, cela doit rester au sein de la maison [Root.GetOnlyDynastyName];[From.GetSheHeCap] est mon(a) régent(e), je n'ai pas le choix.;[From.GetSheHeCap] est mon(a) régent(e), je n'ai pas le choix.;[From.GetSheHeCap] es mi regente, no tengo elección.;;;;;;;;;x
EVTOPTC63010;The regency gives me the power;La régence me donne le pouvoir.;La régence me donne le pouvoir.;La régence me donne le pouvoir.;La regencia me ha dado el poder.;;;;;;;;;x
EVTTOOLTIP63011B;Your rival shall be imprisoned in the name of [Root.Liege.GetTitledFirstName];Votre rival va être emprisonné au nom de [Root.Liege.GetTitledFirstName];Votre rival va être emprisonné au nom de [Root.Liege.GetTitledFirstName];Votre rival va être emprisonné au nom de [Root.Liege.GetTitledFirstName];Tu rival será encarcelado en nombre de [Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTE63011;My regent can imprison whoever [From.GetSheHe] wants;Mon(a) régent(e) peut emprisonner qui [From.GetSheHe] souhaite;Mon(a) régent(e) peut emprisonner qui [From.GetSheHe] souhaite;Mon(a) régent(e) peut emprisonner qui [From.GetSheHe] souhaite;Mi regente puede encarcelar a quien desee.;;;;;;;;;x
EVTOPTC63040;I can grant titles from the regency;Je peux octroyer des titres grâce à la régence.;Je peux octroyer des titres grâce à la régence.;Je peux octroyer des titres grâce à la régence.;Puedo otorgar títulos gracias a la regencia.;;;;;;;;;x
EVTTOOLTIP63041B;You use your powers as regent to force [Root.Liege.GetTitledFirstName] to grant you the title;Vous user de vos pouvoirs de régent(e) pour forcer [Root.Liege.GetTitledFirstName] à vous octroyer le titre.;Vous user de vos pouvoirs de régent(e) pour forcer [Root.Liege.GetTitledFirstName] à vous octroyer le titre.;Vous user de vos pouvoirs de régent(e) pour forcer [Root.Liege.GetTitledFirstName] à vous octroyer le titre.;Utilizas tus poderes como regente para forzar a [Root.Liege.GetTitledFirstName] a que te otorgue un título.;;;;;;;;;x
EVTOPTC63051;I'll use my powers of regency to release [From.GetHerHim] ;Je vais utiliser mes pouvoirs de régent(e) pour le(aà faire libérer.;Je vais utiliser mes pouvoirs de régent(e) pour le(aà faire libérer.;Je vais utiliser mes pouvoirs de régent(e) pour le(aà faire libérer.;Utilizaré mis poderes como regente para liberarle.;;;;;;;;;x
EVTTOOLTIP63052B;You use your powers as regent to release [From.GetTitledFirstName];Vous user de vos pouvoir de régent(e) pour faire libérer [From.GetTitledFirstName];Vous user de vos pouvoir de régent(e) pour faire libérer [From.GetTitledFirstName];Vous user de vos pouvoir de régent(e) pour faire libérer [From.GetTitledFirstName];Utilizas tus poderes como regente para liberar a [From.GetTitledFirstName];;;;;;;;;x
EVTOPTE63052;[From.GetTitledFirstName] is my regent, so can do what [From.GetSheHe] likes;[From.GetTitledFirstName] est mon(a) régent(e), et peut donc faire ce qu'[From.GetSheHe] veut.;[From.GetTitledFirstName] est mon(a) régent(e), et peut donc faire ce qu'[From.GetSheHe] veut.;[From.GetTitledFirstName] est mon(a) régent(e), et peut donc faire ce qu'[From.GetSheHe] veut.;[From.GetTitledFirstName] es mi regente, y puede hacer lo que quiera.;;;;;;;;;x
EVTOPTC63060;I can change the law using the regency;Je peux changer les lois grâce aux pouvoirs de la régence.;Je peux changer les lois grâce aux pouvoirs de la régence.;Je peux changer les lois grâce aux pouvoirs de la régence.;Puedo cambiar la ley gracias al poder de la regencia.;;;;;;;;;x
EVTTOOLTIP63061B;You use your powers as regent to lower taxes;Vous user de votre pouvoir en tant que régent(e) pour réduire les taxes.;Vous user de votre pouvoir en tant que régent(e) pour réduire les taxes.;Vous user de votre pouvoir en tant que régent(e) pour réduire les taxes.;Utilizas tus poderes como regente para reducir los impuestos.;;;;;;;;;x
EVTOPTE63061;[From.GetSheHeCap] is my regent, and so decides the law;[From.GetSheHeCap] est mon(a) régent(e) et décide donc des lois.;[From.GetSheHeCap] est mon(a) régent(e) et décide donc des lois.;[From.GetSheHeCap] est mon(a) régent(e) et décide donc des lois.;[From.GetSheHeCap] es mi regente, y decide sobre las leyes.;;;;;;;;;x
TOOLTIP37001REGENT;As [From.GetTitledFirstName] is your regent you cannot refuse [From.GetHerHis] action\n;Puisque [From.GetTitledFirstName] est votre régent(e), vous ne pouvez pas refuser d'entériner ses actions\n;Puisque [From.GetTitledFirstName] est votre régent(e), vous ne pouvez pas refuser d'entériner ses actions\n;Puisque [From.GetTitledFirstName] est votre régent(e), vous ne pouvez pas refuser d'entériner ses actions\n;Como [From.GetTitledFirstName] es tu regente, no puedes negarte a aprobar sus acciones\n;;;;;;;;;x
EVTOPTC66010;[From.GetSheHeCap] is my regent, and can force my decision;[From.GetSheHeCap] est mon(a) régent(e), et peut forcer ma décision.;[From.GetSheHeCap] est mon(a) régent(e), et peut forcer ma décision.;[From.GetSheHeCap] est mon(a) régent(e), et peut forcer ma décision.;[From.GetSheHeCap] es mi regente, y puede forzar mi decisión.;;;;;;;;;x
EVTOPTC66020;As my regent [From.GetSheHe] can grant [From.GetHerHim]self lands;En tant que mon(a) régent(e) [From.GetSheHe] peut s'octroyer des terres.;En tant que mon(a) régent(e) [From.GetSheHe] peut s'octroyer des terres.;En tant que mon(a) régent(e) [From.GetSheHe] peut s'octroyer des terres.;Como mi regente, [From.GetSheHe] puede otorgarse tierras.;;;;;;;;;x
EVTOPTC63076;I am regent of the realm, this will happen;Je suis le(a) régent(e) du royaume, c'est ainsi que cela va se passer.;Je suis le(a) régent(e) du royaume, c'est ainsi que cela va se passer.;Je suis le(a) régent(e) du royaume, c'est ainsi que cela va se passer.;Soy el regente del Reino, y esto pasará así.;;;;;;;;;x
EVTTOOLTIP63077B;You use your powers as regent to make yourself overlord of the region;Vous user de vos pouvoirs en tant que régent(e) pour vous proclamer suzerain de la région.;Vous user de vos pouvoirs en tant que régent(e) pour vous proclamer suzerain de la région.;Vous user de vos pouvoirs en tant que régent(e) pour vous proclamer suzerain de la région.;Utilizas tus poderes como regente para proclamarte soberano de la región.;;;;;;;;;x
EVTOPTF63077;[From.GetTitledFirstName] is my regent, so can do what [From.GetSheHe] likes;[From.GetTitledFirstName] est mon(a) régent(e), et peut donc faire ce qu'[From.GetSheHe] veut.;[From.GetTitledFirstName] est mon(a) régent(e), et peut donc faire ce qu'[From.GetSheHe] veut.;[From.GetTitledFirstName] est mon(a) régent(e), et peut donc faire ce qu'[From.GetSheHe] veut.;[From.GetTitledFirstName] es mi regente, y puede hacer lo que quiera.;;;;;;;;;x
embargo_cb_desc;Embargo;Embargo;Embargo;Embargo;Embargo;;;;;;;;;x
EVTDESC312002;My beloved paramour [From.Mother.GetFirstName] has given birth to my [GetFromFromRelation], who we have called [From.GetFirstName]. What shall I do with [From.GetHerHim]?;Ma bien-aimée maîtresse [From.Mother.GetFirstName] a donné naissaince à mon(a) [GetFromFromRelation], que nous avons appelé [From.GetFirstName]. Que dois-je faire de [From.GetHerHim]?;Ma bien-aimée maîtresse [From.Mother.GetFirstName] a donné naissaince à mon(a) [GetFromFromRelation], que nous avons appelé [From.GetFirstName]. Que dois-je faire de [From.GetHerHim]?;Ma bien-aimée maîtresse [From.Mother.GetFirstName] a donné naissaince à mon(a) [GetFromFromRelation], que nous avons appelé [From.GetFirstName]. Que dois-je faire de [From.GetHerHim]?;Mi amada amante [From.Mother.GetFirstName] ha dado a luz a mi [GetFromFromRelation], que hemos llamado [From.GetFirstName]. Qué debería hacer con [From.GetHerHim]?;;;;;;;;;x
EVTDESClifeatcourt.1;You come up with a scheme to sell a 'Real' and 'Authentic' Valyrian steel sword  to one of the biggest fools at court. At a bargain price no less!;Vous arrivez à la cour avec un plan pour vendre à un idiot une 'véritable' et 'authentique' épée en acier valyrien. Et pour un prix convenable en plus !;Vous arrivez à la cour avec un plan pour vendre à un idiot une 'véritable' et 'authentique' épée en acier valyrien. Et pour un prix convenable en plus !;Vous arrivez à la cour avec un plan pour vendre à un idiot une 'véritable' et 'authentique' épée en acier valyrien. Et pour un prix convenable en plus !;Llegas a la corte con un plan para vender a algún idiota una 'verdadera' y 'auténtica' espada de acero valyrio. Y por un precio razonable además!;;;;;;;;;x
EVTDESClifeatcourt.2;You were offered an authentic Valyrian steel sword at a bargain price by [From.GetBestName], yet on closer inspection it turned out to be just regular steel.;[From.GetBestName] vous a proposé une authentique épée en acier valyrien à un prix très raisonnable. Malheureusement, après une inspection de la lame, il s'est avéré qu'il s'agissait en réalité d'un acier des plus communs.;[From.GetBestName] vous a proposé une authentique épée en acier valyrien à un prix très raisonnable. Malheureusement, après une inspection de la lame, il s'est avéré qu'il s'agissait en réalité d'un acier des plus communs.;[From.GetBestName] vous a proposé une authentique épée en acier valyrien à un prix très raisonnable. Malheureusement, après une inspection de la lame, il s'est avéré qu'il s'agissait en réalité d'un acier des plus communs.;[From.GetBestName] te ha propuesto comprar una auténtica espada en acero valyrio a un precio muy razonable. Desgraciadamente, tras una inspección de la espada, resultó ser de un acero de lo más común.;;;;;;;;;x
EVTOPTAEVTDESClifeatcourt.2;Pay extra for the blacksmith to keep quiet.;Payer le forgeron pour qu'il ne parle pas de cette affaire.;Payer le forgeron pour qu'il ne parle pas de cette affaire.;Payer le forgeron pour qu'il ne parle pas de cette affaire.;Pagar al herrero para que no hable de este asunto.;;;;;;;;;x
EVTOPTBEVTDESClifeatcourt.2;Outragious! Complain to the authorities!;Ignominie ! Il faut prévenir les autorités !;Ignominie ! Il faut prévenir les autorités !;Ignominie ! Il faut prévenir les autorités !;Indignante! Hay que prevenir a las autoridades!;;;;;;;;;x
EVTDESClifeatcourt.3;[From.GetBestName] complains he was sold a fake Valyrian steel sword.;[From.GetBestName] se plaint qu'on lui a vendu une fausse épée en acier valyrien.;[From.GetBestName] se plaint qu'on lui a vendu une fausse épée en acier valyrien.;[From.GetBestName] se plaint qu'on lui a vendu une fausse épée en acier valyrien.;[From.GetBestName] se queja de que le han vendido una falsa espada de acero valyrio.;;;;;;;;;x
